BPZ	Ringgås
BQV	Kandagås
BQZ	Hvitkinngås
BVZ	Gulnebblom
BWC	Storlom
BWE	Islom
BWF	Smålom
CVV	Hettemåke
DAZ	Havsvale
DBK	Stormsvale
DIM	Svartbrynalbatross
DKI	Toppand
DKJ	Bergand
EGF	Ærfugl
EGJ	Praktærfugl
FNO	Havhest
FPA	Lunde
GCZ	Havelle
GHD	Grågås
GHH	Kortnebbgås
GHI	Sædgås
GWA	Laksand
GWC	Siland
GCG	Kvinand
HBB	Alke
HBH	Alkekonge
HBO	Teist
HBW	Alke - Razorbill
HFZ	Horndykker
HHZ	Toppdykker
HVE	Gråstrupedykker
HWA	Havørn
ISW	Toppskarv
ISY	Mellomskarv
ITV	Skarv
LCW	Fiskemåke
LHZ	Gråmåke
LOW	Sildemåke
LVU	Svartbak
LVW	Grønnlandsmåke
LVY	Polarmåke
LVZ	Sabinemåke
MVB	Havsule
PUG	Storlire
PFG	Grålire
QDT	Ismåke
SJD	Gravand
UQT	Lomvi
TBW	Tyvjo
TFH	Storjo
TVF	Rødnebbterne
TVH	Gråhegre
TZC	Kvikkand
TZE	Brunnakke
TZF	Stokkand
TZH	And
UIP	Havlire
UQU	Polarlomvi
WOS	Sangsvane
WOT	Knoppsvane
WOW	Sjøorre
WOY	Svartand
WYC	Stellerand
BEL	Hvithval
BEW	Nebbhval
BLW	Blåhval
BOW	Tumler
BRW	Brydehval
BWD	Kvitnos
BWW	Spisshval
CPM	Dvergretthval
DCO	Delfin
FIW	Finnhval
KIW	Spekkhogger
MAM	Andre sjøpattedyr
MYS	Annen bardehval
ODN	Annen tannhval
PIW	Grindhval
SEB	Blåsel
SEC	Steinkobbe
SEG	Havert
SEH	Grønlandssel
SER	Ringsel
SEZ	Klappmyss
SIW	Seihval
SPW	Spermhval
SXX	Annen sel
WAL	Hvalross
SHW	Shortfin pilot whale
PHR	Nise
MIW	Vågehval
TVA	Makrellterne
